CustomerID,Lookalikes
C0001,"[('C0164', 0.9690507000333249), ('C0152', 0.9436014860832437), ('C0103', 0.9200208862981109)]"
C0002,"[('C0025', 0.9892661503057171), ('C0071', 0.9693252645669626), ('C0003', 0.9645741920486384)]"
C0003,"[('C0178', 0.9670190959432479), ('C0002', 0.9645741920486384), ('C0025', 0.9618229895391744)]"
C0004,"[('C0108', 0.9808272031343382), ('C0113', 0.9744464362023267), ('C0124', 0.9620697392176214)]"
C0005,"[('C0020', 0.9883314024462088), ('C0130', 0.9881035085307704), ('C0120', 0.9879710401704663)]"
C0006,"[('C0117', 0.961647367163539), ('C0185', 0.920600350954412), ('C0125', 0.9064118555143358)]"
C0007,"[('C0085', 0.9999794169587695), ('C0050', 0.9611171613214974), ('C0089', 0.9544038236171517)]"
C0008,"[('C0109', 0.9791671746850896), ('C0098', 0.9648072068576807), ('C0175', 0.9503822977017069)]"
C0009,"[('C0150', 0.9527372995541954), ('C0058', 0.9181680353953399), ('C0198', 0.9058387848190499)]"
C0010,"[('C0121', 0.9688364282096108), ('C0029', 0.9575541014239084), ('C0077', 0.9418136601346596)]"
C0011,"[('C0064', 0.9921246202680014), ('C0137', 0.9854030880691371), ('C0037', 0.9775244563919987)]"
C0012,"[('C0108', 0.963613035105823), ('C0124', 0.9311234646853669), ('C0004', 0.9224516146291795)]"
C0013,"[('C0099', 0.9888539503619667), ('C0141', 0.9886867956508274), ('C0046', 0.9751153139529449)]"
C0014,"[('C0097', 0.9975703629424375), ('C0197', 0.991555384614391), ('C0035', 0.9845837221041285)]"
C0015,"[('C0080', 0.9820874514849605), ('C0128', 0.9681250738398247), ('C0089', 0.9663983546721382)]"
C0016,"[('C0048', 0.9849108358728518), ('C0187', 0.9838647966013677), ('C0107', 0.983330118240473)]"
C0017,"[('C0154', 0.941690710724522), ('C0081', 0.9177053829813195), ('C0040', 0.8158633201816623)]"
C0018,"[('C0182', 0.8659358063332685), ('C0163', 0.8388343852668723), ('C0105', 0.8100221968336943)]"
C0019,"[('C0047', 0.9113166461014293), ('C0174', 0.8863124246120205), ('C0119', 0.8748798995428394)]"
C0020,"[('C0130', 0.9981149706220914), ('C0140', 0.9935382155798446), ('C0005', 0.9883314024462088)]"
